                   e00                   e01                   e02                   e03                   e04                   e05                   e06                   e07                   e08                   e09                   e10                   e11
    2.8185399999999476    2.8185399999999476    2.8185399999999494    2.8185399999999494    2.8185399999999512    2.8185399999999512    5.6889760000000038    5.6889760000000038    5.6889760000000082    5.6889760000000082    6.2934839999999648    6.2934839999999648
    2.8185546143781961    2.8185546143781961    2.8194755973028904    2.8194755973028904    2.8194755973028944    2.8194755973028944    5.6888478991556788    5.6888478991556788    5.6889776042063032    5.6889776042063032    6.2934093359064889    6.2934093359064889
    2.8185983195463069    2.8185983195463069    2.8222706084718796    2.8222706084718796    2.8222706084718809    2.8222706084718809    5.6884634476471003    5.6884634476471003    5.6889824084498226    5.6889824084498226    6.2931853306776020    6.2931853306776020
    2.8186707052292972    2.8186707052292972    2.8268899802849488    2.8268899802849488    2.8268899802849501    2.8268899802849501    5.6878222054636680    5.6878222054636680    5.6889903877437629    5.6889903877437629    6.2928119478079996    6.2928119478079996
    2.8187710996089614    2.8187710996089614    2.8332762456963296    2.8332762456963296    2.8332762456963310    2.8332762456963310    5.6869234620444526    5.6869234620444526    5.6890015009058281    5.6890015009058281    6.2922891341650242    6.2922891341650242
    2.8188985869077587    2.8188985869077587    2.8413509273871984    2.8413509273871984    2.8413509273872015    2.8413509273872015    5.6857662695420599    5.6857662695420599    5.6890156912424725    5.6890156912424725    6.2916168312481346    6.2916168312481346
    2.8190520312643241    2.8190520312643241    2.8510164458053380    2.8510164458053380    2.8510164458053402    2.8510164458053402    5.6843494875841518    5.6843494875841518    5.6890328874862801    5.6890328874862801    6.2907949903496911    6.2907949903496911
    2.8192301061895457    2.8192301061895457    2.8621584768708503    2.8621584768708503    2.8621584768708512    2.8621584768708512    5.6826718378096857    5.6826718378096857    5.6890530049700647    5.6890530049700647    6.2898235910469156    6.2898235910469156
    2.8194313287258477    2.8194313287258477    2.8746486918388241    2.8746486918388241    2.8746486918388245    2.8746486918388245    5.6807319660762960    5.6807319660762960    5.6890759470127676    5.6890759470127676    6.2887026623222813    6.2887026623222813
    2.8196540972963144    2.8196540972963144    2.8883478011808985    2.8883478011808985    2.8883478011808994    2.8883478011808994    5.6785285099415672    5.6785285099415672    5.6891016064908184    5.6891016064908184    6.2874323055138364    6.2874323055138364
    2.8198967321282407    2.8198967321282407    2.9031088161442407    2.9031088161442407    2.9031088161442415    2.9031088161442415    5.6760601688115431    5.6760601688115431    5.6891298675646942    5.6891298675646942    6.2860127182240300    6.2860127182240300
    2.8201575170639330    2.8201575170639330    2.9187804360855916    2.9187804360855916    2.9187804360855942    2.9187804360855942    5.6733257740443666    5.6733257740443666    5.6891606075282128    5.6891606075282128    6.2844442182793179    6.2844442182793179
    2.8204347415438078    2.8204347415438078    2.9352104669352199    2.9352104669352199    2.9352104669352204    2.9352104669352204    5.6703243562963417    5.6703243562963417    5.6891936987465037    5.6891936987465037    6.2827272668272629    6.2827272668272629
    2.8207267415492798    2.8207267415492798    2.9522491762752954    2.9522491762752954    2.9522491762752985    2.9522491762752985    5.6670552074949159    5.6670552074949159    5.6892290106473791    5.6892290106473791    6.2808624896893290    6.2808624896893290
    2.8210319383420610    2.8210319383420610    2.9697524935148492    2.9697524935148492    2.9697524935148500    2.9697524935148500    5.6635179350283300    5.6635179350283300    5.6892664117318308    5.6892664117318308    6.2788506961494557    6.2788506961494557
    2.8213488739129020    2.8213488739129020    2.9875849693710794    2.9875849693710794    2.9875849693710816    2.9875849693710816    5.6597125060316937    5.6597125060316937    5.6893057715699973    5.6893057715699973    6.2766928944522791    6.2766928944522791
    2.8216762421680253    2.8216762421680253    3.0056224171543486    3.0056224171543486    3.0056224171543495    3.0056224171543495    5.6556392800271924    5.6556392800271924    5.6893469627484858    5.6893469627484858    6.2743903034055135    6.2743903034055135
    2.8220129150265110    2.8220129150265110    3.0237541688871947    3.0237541688871947    3.0237541688871961    3.0237541688871961    5.6512990286171503    5.6512990286171503    5.6893898627412396    5.6893898627412396    6.2719443596230162    6.2719443596230162
    2.8223579627645585    2.8223579627645585    3.0418848917482051    3.0418848917482051    3.0418848917482069    3.0418848917482069    5.6466929414222786    5.6466929414222786    5.6894343556747975    5.6894343556747975    6.2693567201059333    6.2693567201059333
    2.8227106681334169    2.8227106681334169    3.0599359242867172    3.0599359242867172    3.0599359242867199    3.0599359242867199    5.6418226179818696    5.6418226179818696    5.6894803339640472    5.6894803339640472    6.2666292600294691    6.2666292600294691
    2.8230705339722237    2.8230705339722237    3.0778461068591105    3.0778461068591105    3.0778461068591114    3.0778461068591114    5.6366900458699716    5.6366900458699716    5.6895276997975239    5.6895276997975239    6.2637640657792968    6.2637640657792968
    2.8234372842470354    2.8234372842470354    3.0955720963210029    3.0955720963210029    3.0955720963210056    3.0955720963210056    5.6312975658091835    5.6312975658091835    5.6895763664549035    5.6895763664549035    6.2607634234544385    6.2607634234544385
    2.8238108586443333    2.8238108586443333    3.1130881706411135    3.1130881706411135    3.1130881706411144    3.1130881706411144    5.6256478250637789    5.6256478250637789    5.6896262594429601    5.6896262594429601    6.2576298032192534    6.2576298032192534
    2.8241914010532279    2.8241914010532279    3.1303855443346387    3.1303855443346387    3.1303855443346409    3.1303855443346409    5.6197437208448902    5.6197437208448902    5.6896773174401680    5.6896773174401680    6.2543658400377691    6.2543658400377691
    2.8245792424441496    2.8245792424441496    3.1474712299221319    3.1474712299221319    3.1474712299221337    3.1474712299221337    5.6135883358477088    5.6135883358477088    5.6897294930427078    5.6897294930427078    6.2509743114539340    6.2509743114539340
    2.8249748788248299    2.8249748788248299    3.1643664936070017    3.1643664936070017    3.1643664936070031    3.1643664936070031    5.6071848683473595    5.6071848683473595    5.6897827533089389    5.6897827533089389    6.2474581131858242    6.2474581131858242
    2.8253789450878557    2.8253789450878557    3.1811049645971345    3.1811049645971345    3.1811049645971350    3.1811049645971350    5.6005365594941336    5.6005365594941336    5.6898370801017641    5.6898370801017641    6.2438202333795765    6.2438202333795765
    2.8257921856785577    2.8257921856785577    3.1977304666769060    3.1977304666769060    3.1977304666769064    3.1977304666769064    5.5936466205637245    5.5936466205637245    5.6898924702308058    5.6898924702308058    6.2400637264109555    6.2400637264109555
    2.8262154230874454    2.8262154230874454    3.2142946474741474    3.2142946474741474    3.2142946474741478    3.2142946474741478    5.5865181629287797    5.5865181629287797    5.6899489353981751    5.6899489353981751    6.2361916871355918    6.2361916871355918
    2.8266495252215851    2.8266495252215851    3.2308544852002519    3.2308544852002519    3.2308544852002523    3.2308544852002523    5.5791541334198103    5.5791541334198103    5.6900065019547332    5.6900065019547332    6.2322072264635411    6.2322072264635411
    2.8270953727146808    2.8270953727146808    3.2474697543608633    3.2474697543608633    3.2474697543608646    3.2474697543608646    5.5715572575478181    5.5715572575478181    5.6900652104733043    5.6900652104733043    6.2281134490789904    6.2281134490789904
    2.8275538272124408    2.8275538272124408    3.2642005310267885    3.2642005310267885    3.2642005310267912    3.2642005310267912    5.5637299927668131    5.5637299927668131    5.6901251151476862    5.6901251151476862    6.2239134340399032    6.2239134340399032
    2.8280257016115056    2.8280257016115056    3.2811048148026654    3.2811048148026654    3.2811048148026658    3.2811048148026658    5.5556744935770865    5.5556744935770865    5.6901862830271170    5.6901862830271170    6.2196102188758413    6.2196102188758413
    2.8285117331416609    2.8285117331416609    3.2982363387761704    3.2982363387761704    3.2982363387761704    3.2982363387761704    5.5473925898237102    5.5473925898237102    5.6902487930953427    5.6902487930953427    6.2152067876677268    6.2152067876677268
    2.8290125600633682    2.8290125600633682    3.3156426307219578    3.3156426307219578    3.3156426307219591    3.3156426307219591    5.5388857790440440    5.5388857790440440    5.6903127352058895    5.6903127352058895    6.2107060634359499    6.2107060634359499
    2.8295287026127456    2.8295287026127456    3.3333633789539112    3.3333633789539112    3.3333633789539125    3.3333633789539125    5.5301552331829429    5.5301552331829429    5.6903782088834323    5.6903782088834323    6.2061109049980692    6.2061109049980692
    2.8300605486697368    2.8300605486697368    3.3514291448391131    3.3514291448391131    3.3514291448391131    3.3514291448391131    5.5212018194464463    5.5212018194464463    5.6904453220029154    5.6904453220029154    6.2014241082830885    6.2014241082830885
    2.8306083444527608    2.8306083444527608    3.3698604514971691    3.3698604514971691    3.3698604514971695    3.3698604514971695    5.5120261345220474    5.5120261345220474    5.6905141893589350    5.6905141893589350    6.1966484119202745    6.1966484119202745
    2.8311721903683860    2.8311721903683860    3.3886672650496781    3.3886672650496781    3.3886672650496781    3.3886672650496781    5.5026285508793658    5.5026285508793658    5.6905849311374794    5.6905849311374794    6.1917865067530995    6.1917865067530995
    2.8317520419672446    2.8317520419672446    3.4078488713901498    3.4078488713901498    3.4078488713901502    3.4078488713901502    5.4930092733954927    5.4930092733954927    5.6906576713040398    5.6906576713040398    6.1868410487829051    6.1868410487829051
    2.8323477157851280    2.8323477157851280    3.4273941382829483    3.4273941382829483    3.4273941382829505    3.4273941382829505    5.4831684041502955    5.4831684041502955    5.6907325359225132    5.6907325359225132    6.1818146749129781    6.1818146749129781
    2.8329588996885451    2.8329588996885451    3.4472821400728879    3.4472821400728879    3.4472821400728884    3.4472821400728884    5.4731060129108773    5.4731060129108773    5.6908096514216595    5.6908096514216595    6.1767100207594403    6.1767100207594403
    2.8335851672030006    2.8335851672030006    3.4674831108415201    3.4674831108415201    3.4674831108415209    3.4674831108415209    5.4628222105968716    5.4628222105968716    5.6908891428266459    5.6908891428266459    6.1715297397176689    6.1715297397176689
    2.8342259951762365    2.8342259951762365    3.4879596817869971    3.4879596817869971    3.4879596817869989    3.4879596817869989    5.4523172228926144    5.4523172228926144    5.6909711319751572    5.6909711319751572    6.1662765224261413    6.1662765224261413
    2.8348807840363355    2.8348807840363355    3.5086683502989153    3.5086683502989153    3.5086683502989175    3.5086683502989175    5.4415914611498248    5.4415914611498248    5.6910557357401377    5.6910557357401377    6.1609531157581978    6.1609531157581978
    2.8355488798313808    2.8355488798313808    3.5295611218522795    3.5295611218522795    3.5295611218522831    3.5295611218522831    5.4306455878172750    5.4306455878172750    5.6911430642821701    5.6911430642821701    6.1555623404915982    6.1555623404915982
    2.8362295972019025    2.8362295972019025    3.5505872616314900    3.5505872616314900    3.5505872616315015    3.5505872616315015    5.4194805738251173    5.4194805738251173    5.6912332193570885    5.6912332193570885    6.1501071068610118    6.1501071068610118
    2.8369222424266729    2.8369222424266729    3.5716950908463150    3.5716950908463150    3.5716950908463185    3.5716950908463185    5.4080977456490693    5.4080977456490693    5.6913262927059485    5.6913262927059485    6.1445904272831937    6.1445904272831937
