                   e00                   e01                   e02                   e03                   e04                   e05
    2.8185399999999476    2.8185399999999476    2.8185399999999494    2.8185399999999494    2.8185399999999512    2.8185399999999512
    2.8185546143781961    2.8185546143781961    2.8194755973028904    2.8194755973028904    2.8194755973028944    2.8194755973028944
    2.8185983195463069    2.8185983195463069    2.8222706084718796    2.8222706084718796    2.8222706084718809    2.8222706084718809
    2.8186707052292972    2.8186707052292972    2.8268899802849488    2.8268899802849488    2.8268899802849501    2.8268899802849501
    2.8187710996089614    2.8187710996089614    2.8332762456963296    2.8332762456963296    2.8332762456963310    2.8332762456963310
    2.8188985869077587    2.8188985869077587    2.8413509273871984    2.8413509273871984    2.8413509273872015    2.8413509273872015
    2.8190520312643241    2.8190520312643241    2.8510164458053380    2.8510164458053380    2.8510164458053402    2.8510164458053402
    2.8192301061895457    2.8192301061895457    2.8621584768708503    2.8621584768708503    2.8621584768708512    2.8621584768708512
    2.8194313287258477    2.8194313287258477    2.8746486918388241    2.8746486918388241    2.8746486918388245    2.8746486918388245
    2.8196540972963144    2.8196540972963144    2.8883478011808985    2.8883478011808985    2.8883478011808994    2.8883478011808994
    2.8198967321282407    2.8198967321282407    2.9031088161442407    2.9031088161442407    2.9031088161442415    2.9031088161442415
    2.8201575170639330    2.8201575170639330    2.9187804360855916    2.9187804360855916    2.9187804360855942    2.9187804360855942
    2.8204347415438078    2.8204347415438078    2.9352104669352199    2.9352104669352199    2.9352104669352204    2.9352104669352204
    2.8207267415492798    2.8207267415492798    2.9522491762752954    2.9522491762752954    2.9522491762752985    2.9522491762752985
    2.8210319383420610    2.8210319383420610    2.9697524935148492    2.9697524935148492    2.9697524935148500    2.9697524935148500
    2.8213488739129020    2.8213488739129020    2.9875849693710794    2.9875849693710794    2.9875849693710816    2.9875849693710816
    2.8216762421680253    2.8216762421680253    3.0056224171543486    3.0056224171543486    3.0056224171543495    3.0056224171543495
    2.8220129150265110    2.8220129150265110    3.0237541688871947    3.0237541688871947    3.0237541688871961    3.0237541688871961
    2.8223579627645585    2.8223579627645585    3.0418848917482051    3.0418848917482051    3.0418848917482069    3.0418848917482069
    2.8227106681334169    2.8227106681334169    3.0599359242867172    3.0599359242867172    3.0599359242867199    3.0599359242867199
    2.8230705339722237    2.8230705339722237    3.0778461068591105    3.0778461068591105    3.0778461068591114    3.0778461068591114
    2.8234372842470354    2.8234372842470354    3.0955720963210029    3.0955720963210029    3.0955720963210056    3.0955720963210056
    2.8238108586443333    2.8238108586443333    3.1130881706411135    3.1130881706411135    3.1130881706411144    3.1130881706411144
    2.8241914010532279    2.8241914010532279    3.1303855443346387    3.1303855443346387    3.1303855443346409    3.1303855443346409
    2.8245792424441496    2.8245792424441496    3.1474712299221319    3.1474712299221319    3.1474712299221337    3.1474712299221337
    2.8249748788248299    2.8249748788248299    3.1643664936070017    3.1643664936070017    3.1643664936070031    3.1643664936070031
    2.8253789450878557    2.8253789450878557    3.1811049645971345    3.1811049645971345    3.1811049645971350    3.1811049645971350
    2.8257921856785577    2.8257921856785577    3.1977304666769060    3.1977304666769060    3.1977304666769064    3.1977304666769064
    2.8262154230874454    2.8262154230874454    3.2142946474741474    3.2142946474741474    3.2142946474741478    3.2142946474741478
    2.8266495252215851    2.8266495252215851    3.2308544852002519    3.2308544852002519    3.2308544852002523    3.2308544852002523
    2.8270953727146808    2.8270953727146808    3.2474697543608633    3.2474697543608633    3.2474697543608646    3.2474697543608646
    2.8275538272124408    2.8275538272124408    3.2642005310267885    3.2642005310267885    3.2642005310267912    3.2642005310267912
    2.8280257016115056    2.8280257016115056    3.2811048148026654    3.2811048148026654    3.2811048148026658    3.2811048148026658
    2.8285117331416609    2.8285117331416609    3.2982363387761704    3.2982363387761704    3.2982363387761704    3.2982363387761704
    2.8290125600633682    2.8290125600633682    3.3156426307219578    3.3156426307219578    3.3156426307219591    3.3156426307219591
