iter	MultiClass
0	1.026341254
1	0.9534725898
2	0.8949624627
3	0.8476458229
4	0.7993547943
5	0.759816411
6	0.7264781844
7	0.6907443683
8	0.6633932824
9	0.6343240074
10	0.6100656912
11	0.5873698627
12	0.5660439235
13	0.5450147188
14	0.5261629906
15	0.5092980123
16	0.4905244374
17	0.4742194075
18	0.4597298307
19	0.4484831469
20	0.4342881587
21	0.4221837659
22	0.4103587526
23	0.3968961464
24	0.3872466729
25	0.3755564795
26	0.3667187578
27	0.3576439978
28	0.347846748
29	0.3414154554
30	0.3337400142
31	0.3262346142
32	0.3183405443
33	0.3116743304
34	0.304730035
35	0.2990030835
36	0.2937314408
37	0.2887819443
38	0.2835861272
39	0.2800778345
40	0.2757647524
41	0.2715197366
42	0.2653293568
43	0.2597721258
44	0.2565432946
45	0.2519597554
46	0.2485152491
47	0.2450352111
48	0.2410666472
49	0.2377427729
50	0.2352910675
51	0.2314185263
52	0.229373231
53	0.226060898
54	0.222667389
55	0.2194191144
56	0.2167918336
57	0.2133971429
58	0.2113561561
59	0.2085265064
60	0.2063542435
61	0.2040196626
62	0.2010903137
63	0.1981908915
64	0.1963154798
65	0.1945214858
66	0.1931849548
67	0.1917348061
68	0.1898030876
69	0.1880440133
70	0.1859728531
71	0.183676927
72	0.1822556637
73	0.1807533861
74	0.1791757195
75	0.1774911499
76	0.175223398
77	0.1734988576
78	0.1722436979
79	0.1704480799
80	0.1687583674
81	0.166470839
82	0.1655352787
83	0.1639587545
84	0.1616006003
85	0.1596895867
86	0.1573763764
87	0.155594158
88	0.1543530255
89	0.1535461745
90	0.1526627016
91	0.1512243993
92	0.1500367945
93	0.1491598446
94	0.1479570906
95	0.1471994332
96	0.1457304367
97	0.1447602231
98	0.1440801164
99	0.1428996501
100	0.1421269707
101	0.1412487927
102	0.1403186266
103	0.1388672982
104	0.1373443223
105	0.137034717
106	0.1362209903
107	0.1350318748
108	0.1343632442
109	0.1330030822
110	0.1320988464
111	0.1312865717
112	0.1304807367
113	0.1295776196
114	0.1284148619
